seq,word,meaning,len
1,검사,어떤 일이나 대상을 조사하여 옳고 그름이나 좋고 나쁨을 알아냄.,2
2,결과,어떤 일이나 과정이 끝난 후의 상태나 현상.,2
3,결정,무엇을 어떻게 하기로 분명하게 정함. 또는 그렇게 정해진 내용.,2
4,경험,자신이 실제로 해 보거나 겪어 봄. 또는 거기서 얻은 지식이나 기능.,2
5,계획,앞으로의 일을 자세히 생각하여 정함.,2
6,관계,"둘 이상의 사람, 사물, 현상 등이 서로 관련을 맺음. 또는 그런 관련.",2
7,교환,무엇을 다른 것으로 바꿈.,2
8,규칙,여러 사람이 지키도록 정해 놓은 법칙.,2
9,내용,"
사물이나 일의 속을 이루는 사정이나 형편.",2
10,능력,어떤 일을 할 수 있는 힘.,2
11,단순,복잡하지 않고 간단한 것.,2
12,목적,이루려고 하는 일이나 나아가고자 하는 방향.,2
13,문제,"답을 요구하는 물음. 논쟁이나 논의, 연구 등의 대상이 되는 일.",2
14,반대,"어떤 것이 다른 것과 모양, 위치, 방향, 속성 등에서 완전히 다름.
어떤 행동이나 의견 등을 따르지 않고 거스름.",2
15,방법,어떤 일을 해 나가기 위한 수단이나 방식.,2
16,방향,"어떤 지점이나 방위를 향하는 쪽.
어떤 일이 일정한 목표를 향하여 나아가는 쪽.",2
17,부분,전체를 이루고 있는 작은 범위. 또는 전체를 여러 개로 나눈 것 가운데 하나.,2
18,비교,둘 이상의 것을 함께 놓고 어떤 점이 같고 다른지 살펴봄.,2
19,사실,"실제로 있었던 일이나 현재 일어나고 있는 일.
겉으로 드러나지 않은 일을 솔직하게 말할 때 쓰는 말.
자신의 말이 옳다고 강조할 때 쓰는 말.",2
20,선택,여럿 중에서 필요한 것을 골라 뽑음.,2
21,설명,어떤 것을 남에게 알기 쉽게 풀어 말함. 또는 그런 말.,2
22,성격,"개인이 가지고 있는 고유한 성질이나 품성.
어떤 것이 본래 가지고 있는 자체의 성질이나 모습.",2
23,소개,"둘 사이에서 양쪽의 일이 잘 진행되게 힘씀.
서로 모르는 사람들 사이에서 양쪽이 알고 지내도록 관계를 맺어 줌.
잘 알려지지 않았거나, 모르는 사실이나 내용을 잘 알도록 해 주는 설명.",2
24,안내,"어떤 내용을 소개하여 알려 줌. 또는 그런 일.
어떤 사람을 그 사람이 잘 모르는 장소로 이끌거나 가고자 하는 곳까지 데려다 줌.",2
25,연결,둘 이상의 사물이나 현상 등이 서로 이어지거나 관계를 맺음.,2
26,의미,"말이나 글, 기호 등이 나타내는 뜻.
어떠한 일, 행동, 현상 등에 숨어 있는 속뜻.
어떠한 일, 행동, 현상 등이 지닌 가치나 중요성.",2
27,이상,"수량이나 정도가 일정한 기준을 포함하여 그보다 많거나 나은 것.
순서나 위치가 일정한 기준보다 앞이거나 위인 것.
이미 그렇게 된 바에는.
서류나 강연 등에 마지막에 써서 ‘끝’의 뜻을 나타내는 말.",2
28,이용,"대상을 필요에 따라 이롭거나 쓸모가 있게 씀.
다른 사람이나 대상을 자신의 이익을 채우기 위한 수단으로 씀.",2
29,이해,"무엇이 어떤 것인지를 앎. 또는 무엇이 어떤 것이라고 받아들임.
무엇을 깨달아 앎. 또는 잘 알아서 받아들임.
남의 형편을 알고 받아들임.",2
30,재료,"물건을 만드는 데 쓰이는 것.
어떤 일을 하는 데 쓰이는 거리.",2
31,정리,"흐트러지거나 어수선한 상태에 있는 것을 한곳에 모으거나 치움.
종류에 따라 체계적으로 나누거나 모음.
문제가 되거나 불필요한 것을 줄이거나 없애 말끔하게 바로잡음.
다른 사람과의 관계를 끝냄.
은행과의 거래 내역을 통장에 기록으로 나타냄.",2
32,종류,"어떤 기준에 따라 여러 가지로 나눈 갈래.
어떤 갈래에 속하는 것들.
사물의 갈래를 세는 단위.",2
33,주변,어떤 대상을 싸고 있는 둘레. 또는 가까운 범위 안.,2
34,준비,미리 마련하여 갖춤.,2
35,중심,"어떤 것의 한가운데.
중요하고 기본이 되는 부분.
확고한 자신의 의견이나 생각.",2
36,중요,귀중하고 꼭 필요함.,2
37,지도,"어떤 목적이나 방향으로 다른 사람을 가르쳐 이끎.
선생님이 학생에게 공부나 바른 생활을 가르침.
유도에서 금지된 기술 및 동작을 할 때 받는 주의.",2
38,직접,중간에 다른 사람이나 물건 등이 끼어들지 않고 바로 연결되는 관계.,2
39,취소,이미 발표한 것을 거두어들이거나 약속한 것 또는 예정된 일을 없앰.,2
40,행동,몸을 움직여 어떤 일이나 동작을 함.,2
41,가능,할 수 있거나 될 수 있음.,2
42,간접,둘이 바로 연결되지 않고 중간에 다른 것을 통해서 이어짐.,2
43,감각,"눈, 코, 귀, 혀, 피부를 통하여 자극을 느낌.
무엇에 대하여 느끼고 이해한 것을 통하여 판단하거나 표현하는 능력.",2
44,강력,힘이나 영향이 강함.,2
45,강제,권력이나 힘으로 남이 원하지 않는 일을 억지로 시킴.,2
46,강조,어떤 것을 특히 두드러지게 하거나 강하게 주장함.,2
47,개혁,불합리한 제도나 기구 등을 새롭게 고침.,2
48,거부,요구나 제안 등을 받아들이지 않음.,2
49,검색,"수상한 사람이나 물건을 살펴 조사하는 것.
책이나 컴퓨터에서 필요한 자료를 찾아내는 것.",2
50,견해,"사람, 사물이나 현상에 대해 사람마다 가지는 의견이나 생각.",2
51,결론,"말이나 글을 마무리하는 부분.
어떤 문제에 대하여 마지막으로 내린 판단.",2
52,경쟁,어떤 분야에서 이기거나 앞서려고 서로 겨룸.,2
53,고려,어떤 일을 하는 데 여러 가지 상황이나 조건을 신중하게 생각함.,2
54,고정,"한번 정한 내용을 변경하지 않음.
한곳에서 움직이지 않음. 또는 움직이지 않게 함.",2
55,공개,"어떤 사실이나 사물, 내용 등을 사람들에게 널리 알림.
어떤 장소를 사람들이 드나들 수 있도록 열어 놓음.",2
56,공동,둘 이상의 사람이나 단체가 어떤 일을 함께 하거나 동등한 자격으로 관계됨.,2
57,공통,여럿 사이에 서로 같거나 관계됨.,2
58,공평,한쪽으로 치우치지 않고 모든 사람에게 고름.,2
59,과장,사실에 비해 지나치게 크거나 좋게 부풀려 나타냄.,2
60,과정,어떤 일이나 현상이 계속 진행되는 동안 혹은 그 사이에 일어난 일.,2
61,관련,"둘 이상의 사람, 사물, 현상 등이 서로 영향을 주고받도록 관계를 맺고 있음. 또는 그 관계.",2
62,관리,"어떤 일을 책임지고 맡아 처리함.
시설이나 건물을 유지하거나 개량하는 일을 맡아 함.
사람을 지휘하거나 감독함.
사람의 몸이나 동물, 식물 등을 보살피거나 돌봄.",2
63,관찰,사물이나 현상을 주의 깊게 자세히 살펴봄.,2
64,관측,"눈이나 기계로 자연 현상을 자세히 살펴보아 어떤 사실을 짐작하거나 알아냄.
어떤 일이나 상황을 자세히 살피어 이후의 일을 짐작함.",2
65,구별,성질이나 종류에 따라 차이가 남. 또는 성질이나 종류에 따라 갈라놓음.,2
66,구분,어떤 기준에 따라 전체를 몇 개의 부분으로 나눔.,2
67,권장,어떤 일을 권하고 장려함.,2
68,균형,어느 한쪽으로 기울거나 치우치지 않은 상태.,2
69,극복,나쁜 조건이나 힘든 일 등을 이겨 냄.,2
70,근거,"생활이나 활동 등의 근본이 되는 곳.
어떤 일이나 의견 등에 그 근본이 됨. 또는 그런 까닭.",2
71,긍정,어떤 사실이나 생각이 맞다거나 옳다고 인정함.,2
72,기능,작업을 정확하고 손쉽게 해 주는 기술적인 재주와 능력.,2
73,기능,"어떤 역할이나 작용을 함. 또는 그런 역할이나 작용.
권한이나 직책, 능력 등에 따른 어떤 분야에서의 역할과 작용.",2
74,기법,기교와 방법.,2
75,기본,"무엇을 하기 전에 가장 먼저 해야 하는 것이나 꼭 있어야 하는 것.
무엇을 이루는 데 가장 중심이 되고 중요한 것.",2
76,기술,"과학 이론을 실제로 적용하여 인간 생활에 쓸모가 있게 하는 수단.
사물을 잘 다루거나 사용할 수 있는 방법이나 능력.",2
77,기준,구별하거나 정도를 판단하기 위해 그것과 비교하도록 정한 대상이나 잣대.,2
78,기초,"사물이나 일 등의 기본이 되는 바탕.
건물이나 다리 등을 지을 때 그 무게를 받치기 위해 만든 밑받침.",2
